Data,Codigo,Produto,Grupo,Setor,Quantidade_Consumida
2024-01-12,0003,Soro Glicosado 5% 500mL,Solucoes,Urgencia,77
2024-01-12,0012,Metoclopramida 10mg,Medicamento,Urgencia,51
2024-01-12,0025,Alcool 70%,Material Hospitalar,Urgencia,13
2024-01-12,0022,Mascara Cirurgica,Material Hospitalar,Urgencia,113
2024-01-12,0016,Adrenalina 1mg/mL,Medicamento,UTI,28
2024-01-12,0006,Seringa 20mL,Material Hospitalar,Urgencia,48
2024-01-12,0009,Omeprazol 40mg,Medicamento,Bloco Cirurgico,34
2024-01-12,0024,Esparadrapo,Material Hospitalar,UTI,12
2024-01-12,0021,Cateter Venoso 22G,Material Hospitalar,UTI,21
2024-01-12,0011,Ampicilina 1g,Antibiotico,Bloco Cirurgico,12
2024-01-12,0019,Glicose 50%,Solucoes,UTI,61
2024-01-13,0009,Omeprazol 40mg,Medicamento,Clínica Médica,30
2024-01-13,0013,Ondansetrona 4mg,Medicamento,UTI,51
2024-01-13,0021,Cateter Venoso 22G,Material Hospitalar,Bloco Cirurgico,38
2024-01-13,0008,Luva Procedimento M,Material Hospitalar,Urgencia,65
2024-01-13,0001,Dipirona 500mg/mL,Medicamento,Bloco Cirurgico,17
2024-01-13,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,97
2024-01-13,0010,Ceftriaxona 1g,Antibiotico,Urgencia,6
2024-01-13,0017,"Atropina 0,25mg/mL",Medicamento,UTI,13
2024-01-14,0025,Alcool 70%,Material Hospitalar,Urgencia,79
2024-01-14,0001,Dipirona 500mg/mL,Medicamento,Urgencia,41
2024-01-14,0006,Seringa 20mL,Material Hospitalar,Urgencia,55
2024-01-14,0020,Cateter Venoso 20G,Material Hospitalar,Urgencia,87
2024-01-14,0010,Ceftriaxona 1g,Antibiotico,Urgencia,27
2024-01-14,0007,Agulha 25x7,Material Hospitalar,Urgencia,56
2024-01-14,0005,Seringa 10mL,Material Hospitalar,UTI,65
2024-01-14,0014,Furosemida 20mg,Medicamento,Clínica Médica,48
2024-01-14,0012,Metoclopramida 10mg,Medicamento,Urgencia,26
2024-01-14,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Clínica Médica,12
2024-01-15,0016,Adrenalina 1mg/mL,Medicamento,Urgencia,39
2024-01-15,0009,Omeprazol 40mg,Medicamento,Urgencia,44
2024-01-15,0010,Ceftriaxona 1g,Antibiotico,Urgencia,13
2024-01-15,0004,Equipo Macrogotas,Material Hospitalar,UTI,77
2024-01-15,0005,Seringa 10mL,Material Hospitalar,Urgencia,114
2024-01-15,0001,Dipirona 500mg/mL,Medicamento,UTI,47
2024-01-15,0022,Mascara Cirurgica,Material Hospitalar,UTI,95
2024-01-15,0012,Metoclopramida 10mg,Medicamento,UTI,8
2024-01-16,0025,Alcool 70%,Material Hospitalar,Urgencia,64
2024-01-16,0022,Mascara Cirurgica,Material Hospitalar,Bloco Cirurgico,12
2024-01-16,0008,Luva Procedimento M,Material Hospitalar,UTI,49
2024-01-16,0018,Cloreto de Sodio 20%,Solucoes,Bloco Cirurgico,28
2024-01-16,0003,Soro Glicosado 5% 500mL,Solucoes,Urgencia,70
2024-01-16,0004,Equipo Macrogotas,Material Hospitalar,UTI,84
2024-01-16,0007,Agulha 25x7,Material Hospitalar,Clínica Médica,15
2024-01-16,0014,Furosemida 20mg,Medicamento,Clínica Médica,30
2024-01-16,0011,Ampicilina 1g,Antibiotico,Urgencia,19
2024-01-16,0024,Esparadrapo,Material Hospitalar,Bloco Cirurgico,75
2024-01-16,0016,Adrenalina 1mg/mL,Medicamento,UTI,8
2024-01-16,0015,Hidrocortisona 100mg,Medicamento,UTI,45
2024-01-16,0001,Dipirona 500mg/mL,Medicamento,Bloco Cirurgico,6
2024-01-16,0021,Cateter Venoso 22G,Material Hospitalar,Clínica Médica,77
2024-01-16,0020,Cateter Venoso 20G,Material Hospitalar,UTI,106
2024-01-17,0024,Esparadrapo,Material Hospitalar,Urgencia,110
2024-01-17,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,18
2024-01-17,0009,Omeprazol 40mg,Medicamento,UTI,24
2024-01-17,0016,Adrenalina 1mg/mL,Medicamento,UTI,35
2024-01-17,0010,Ceftriaxona 1g,Antibiotico,Urgencia,17
2024-01-17,0025,Alcool 70%,Material Hospitalar,Clínica Médica,69
2024-01-17,0023,Compressa Gaze,Material Hospitalar,Clínica Médica,87
2024-01-17,0007,Agulha 25x7,Material Hospitalar,Clínica Médica,84
2024-01-17,0019,Glicose 50%,Solucoes,Clínica Médica,39
2024-01-17,0008,Luva Procedimento M,Material Hospitalar,Clínica Médica,73
2024-01-17,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,UTI,68
2024-01-18,0017,"Atropina 0,25mg/mL",Medicamento,UTI,33
2024-01-18,0015,Hidrocortisona 100mg,Medicamento,Urgencia,33
2024-01-18,0001,Dipirona 500mg/mL,Medicamento,Urgencia,2
2024-01-18,0012,Metoclopramida 10mg,Medicamento,UTI,40
2024-01-18,0019,Glicose 50%,Solucoes,Urgencia,43
2024-01-18,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,15
2024-01-18,0006,Seringa 20mL,Material Hospitalar,Urgencia,60
2024-01-18,0018,Cloreto de Sodio 20%,Solucoes,Urgencia,68
2024-01-18,0007,Agulha 25x7,Material Hospitalar,Urgencia,38
2024-01-18,0025,Alcool 70%,Material Hospitalar,UTI,103
2024-01-18,0008,Luva Procedimento M,Material Hospitalar,Clínica Médica,45
2024-01-18,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Clínica Médica,61
2024-01-18,0016,Adrenalina 1mg/mL,Medicamento,Urgencia,37
2024-01-18,0010,Ceftriaxona 1g,Antibiotico,Bloco Cirurgico,1
2024-01-18,0013,Ondansetrona 4mg,Medicamento,Urgencia,22
2024-01-19,0011,Ampicilina 1g,Antibiotico,UTI,20
2024-01-19,0022,Mascara Cirurgica,Material Hospitalar,Urgencia,83
2024-01-19,0009,Omeprazol 40mg,Medicamento,Urgencia,6
2024-01-19,0023,Compressa Gaze,Material Hospitalar,UTI,56
2024-01-19,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,116
2024-01-19,0012,Metoclopramida 10mg,Medicamento,Urgencia,13
2024-01-19,0007,Agulha 25x7,Material Hospitalar,Urgencia,91
2024-01-19,0003,Soro Glicosado 5% 500mL,Solucoes,UTI,64
2024-01-19,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,UTI,72
2024-01-20,0016,Adrenalina 1mg/mL,Medicamento,Urgencia,15
2024-01-20,0022,Mascara Cirurgica,Material Hospitalar,Urgencia,82
2024-01-20,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Bloco Cirurgico,78
2024-01-20,0003,Soro Glicosado 5% 500mL,Solucoes,Bloco Cirurgico,30
2024-01-20,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,72
2024-01-20,0012,Metoclopramida 10mg,Medicamento,UTI,26
2024-01-20,0013,Ondansetrona 4mg,Medicamento,Clínica Médica,2
2024-01-20,0015,Hidrocortisona 100mg,Medicamento,UTI,27
2024-01-20,0004,Equipo Macrogotas,Material Hospitalar,Bloco Cirurgico,26
2024-01-20,0018,Cloreto de Sodio 20%,Solucoes,UTI,63
2024-01-20,0025,Alcool 70%,Material Hospitalar,UTI,60
2024-01-20,0001,Dipirona 500mg/mL,Medicamento,Urgencia,25
2024-01-21,0012,Metoclopramida 10mg,Medicamento,Urgencia,19
2024-01-21,0010,Ceftriaxona 1g,Antibiotico,Urgencia,29
2024-01-21,0003,Soro Glicosado 5% 500mL,Solucoes,UTI,34
2024-01-21,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Bloco Cirurgico,23
2024-01-21,0005,Seringa 10mL,Material Hospitalar,Urgencia,87
2024-01-21,0014,Furosemida 20mg,Medicamento,Bloco Cirurgico,50
2024-01-21,0019,Glicose 50%,Solucoes,UTI,42
2024-01-21,0013,Ondansetrona 4mg,Medicamento,Bloco Cirurgico,4
2024-01-21,0008,Luva Procedimento M,Material Hospitalar,Urgencia,38
2024-01-21,0025,Alcool 70%,Material Hospitalar,Urgencia,12
2024-01-21,0024,Esparadrapo,Material Hospitalar,Urgencia,83
2024-01-21,0015,Hidrocortisona 100mg,Medicamento,Clínica Médica,34
2024-01-21,0016,Adrenalina 1mg/mL,Medicamento,UTI,23
2024-01-21,0009,Omeprazol 40mg,Medicamento,Clínica Médica,32
2024-01-22,0010,Ceftriaxona 1g,Antibiotico,Clínica Médica,7
2024-01-22,0017,"Atropina 0,25mg/mL",Medicamento,UTI,33
2024-01-22,0016,Adrenalina 1mg/mL,Medicamento,Urgencia,19
2024-01-22,0013,Ondansetrona 4mg,Medicamento,Urgencia,19
2024-01-22,0025,Alcool 70%,Material Hospitalar,UTI,69
2024-01-22,0006,Seringa 20mL,Material Hospitalar,Bloco Cirurgico,10
2024-01-22,0019,Glicose 50%,Solucoes,Bloco Cirurgico,24
2024-01-22,0009,Omeprazol 40mg,Medicamento,Urgencia,2
2024-01-22,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,21
2024-01-23,0024,Esparadrapo,Material Hospitalar,Urgencia,31
2024-01-23,0022,Mascara Cirurgica,Material Hospitalar,Bloco Cirurgico,13
2024-01-23,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,38
2024-01-23,0018,Cloreto de Sodio 20%,Solucoes,Urgencia,41
2024-01-23,0016,Adrenalina 1mg/mL,Medicamento,Urgencia,18
2024-01-23,0015,Hidrocortisona 100mg,Medicamento,UTI,42
2024-01-23,0023,Compressa Gaze,Material Hospitalar,UTI,47
2024-01-23,0013,Ondansetrona 4mg,Medicamento,Urgencia,37
2024-01-23,0019,Glicose 50%,Solucoes,Bloco Cirurgico,31
2024-01-23,0021,Cateter Venoso 22G,Material Hospitalar,Clínica Médica,15
2024-01-23,0001,Dipirona 500mg/mL,Medicamento,Bloco Cirurgico,34
2024-01-24,0012,Metoclopramida 10mg,Medicamento,Clínica Médica,5
2024-01-24,0018,Cloreto de Sodio 20%,Solucoes,UTI,40
2024-01-24,0009,Omeprazol 40mg,Medicamento,UTI,19
2024-01-24,0006,Seringa 20mL,Material Hospitalar,UTI,116
2024-01-24,0019,Glicose 50%,Solucoes,Bloco Cirurgico,77
2024-01-24,0024,Esparadrapo,Material Hospitalar,Bloco Cirurgico,82
2024-01-24,0022,Mascara Cirurgica,Material Hospitalar,Urgencia,26
2024-01-24,0025,Alcool 70%,Material Hospitalar,UTI,70
2024-01-24,0020,Cateter Venoso 20G,Material Hospitalar,Bloco Cirurgico,51
2024-01-24,0008,Luva Procedimento M,Material Hospitalar,UTI,44
2024-01-24,0015,Hidrocortisona 100mg,Medicamento,Bloco Cirurgico,37
2024-01-24,0023,Compressa Gaze,Material Hospitalar,Urgencia,60
2024-01-24,0016,Adrenalina 1mg/mL,Medicamento,Urgencia,34
2024-01-24,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,110
2024-01-24,0005,Seringa 10mL,Material Hospitalar,Urgencia,58
2024-01-24,0003,Soro Glicosado 5% 500mL,Solucoes,Urgencia,78
2024-01-25,0004,Equipo Macrogotas,Material Hospitalar,UTI,16
2024-01-25,0014,Furosemida 20mg,Medicamento,Urgencia,53
2024-01-25,0025,Alcool 70%,Material Hospitalar,Bloco Cirurgico,57
2024-01-25,0003,Soro Glicosado 5% 500mL,Solucoes,Urgencia,63
2024-01-25,0001,Dipirona 500mg/mL,Medicamento,Clínica Médica,18
2024-01-25,0007,Agulha 25x7,Material Hospitalar,Bloco Cirurgico,48
2024-01-25,0022,Mascara Cirurgica,Material Hospitalar,UTI,68
2024-01-25,0018,Cloreto de Sodio 20%,Solucoes,Bloco Cirurgico,21
2024-01-25,0011,Ampicilina 1g,Antibiotico,Bloco Cirurgico,24
2024-01-25,0010,Ceftriaxona 1g,Antibiotico,Urgencia,28
2024-01-25,0013,Ondansetrona 4mg,Medicamento,UTI,3
2024-01-25,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Bloco Cirurgico,44
2024-01-25,0009,Omeprazol 40mg,Medicamento,UTI,23
2024-01-25,0020,Cateter Venoso 20G,Material Hospitalar,Urgencia,24
2024-01-25,0021,Cateter Venoso 22G,Material Hospitalar,Bloco Cirurgico,13
2024-01-25,0006,Seringa 20mL,Material Hospitalar,Bloco Cirurgico,34
2024-01-26,0015,Hidrocortisona 100mg,Medicamento,UTI,56
2024-01-26,0009,Omeprazol 40mg,Medicamento,Urgencia,57
2024-01-26,0018,Cloreto de Sodio 20%,Solucoes,Bloco Cirurgico,29
2024-01-26,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,93
2024-01-26,0008,Luva Procedimento M,Material Hospitalar,Bloco Cirurgico,103
2024-01-26,0025,Alcool 70%,Material Hospitalar,Urgencia,54
2024-01-26,0006,Seringa 20mL,Material Hospitalar,Urgencia,39
2024-01-26,0005,Seringa 10mL,Material Hospitalar,Clínica Médica,27
2024-01-26,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,34
2024-01-27,0019,Glicose 50%,Solucoes,Urgencia,76
2024-01-27,0024,Esparadrapo,Material Hospitalar,Clínica Médica,72
2024-01-27,0022,Mascara Cirurgica,Material Hospitalar,Urgencia,118
2024-01-27,0001,Dipirona 500mg/mL,Medicamento,Urgencia,43
2024-01-27,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Urgencia,45
2024-01-27,0025,Alcool 70%,Material Hospitalar,Urgencia,12
2024-01-27,0016,Adrenalina 1mg/mL,Medicamento,Bloco Cirurgico,5
2024-01-27,0003,Soro Glicosado 5% 500mL,Solucoes,Urgencia,51
2024-01-28,0012,Metoclopramida 10mg,Medicamento,Urgencia,9
2024-01-28,0022,Mascara Cirurgica,Material Hospitalar,Urgencia,107
2024-01-28,0007,Agulha 25x7,Material Hospitalar,Clínica Médica,18
2024-01-28,0001,Dipirona 500mg/mL,Medicamento,Urgencia,25
2024-01-28,0014,Furosemida 20mg,Medicamento,UTI,59
2024-01-28,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Urgencia,42
2024-01-28,0005,Seringa 10mL,Material Hospitalar,Urgencia,14
2024-01-28,0013,Ondansetrona 4mg,Medicamento,Urgencia,18
2024-01-28,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,69
2024-01-28,0011,Ampicilina 1g,Antibiotico,Urgencia,28
2024-01-28,0024,Esparadrapo,Material Hospitalar,Urgencia,90
2024-01-28,0016,Adrenalina 1mg/mL,Medicamento,Urgencia,45
2024-01-28,0006,Seringa 20mL,Material Hospitalar,UTI,102
2024-01-28,0015,Hidrocortisona 100mg,Medicamento,Clínica Médica,3
2024-01-29,0017,"Atropina 0,25mg/mL",Medicamento,Clínica Médica,57
2024-01-29,0010,Ceftriaxona 1g,Antibiotico,Urgencia,23
2024-01-29,0015,Hidrocortisona 100mg,Medicamento,Urgencia,32
2024-01-29,0019,Glicose 50%,Solucoes,Urgencia,34
2024-01-29,0007,Agulha 25x7,Material Hospitalar,Clínica Médica,91
2024-01-29,0003,Soro Glicosado 5% 500mL,Solucoes,Bloco Cirurgico,16
2024-01-29,0004,Equipo Macrogotas,Material Hospitalar,Urgencia,105
2024-01-29,0024,Esparadrapo,Material Hospitalar,Urgencia,36
2024-01-29,0005,Seringa 10mL,Material Hospitalar,Clínica Médica,26
2024-01-29,0018,Cloreto de Sodio 20%,Solucoes,Urgencia,64
2024-01-29,0021,Cateter Venoso 22G,Material Hospitalar,Urgencia,118
2024-01-29,0009,Omeprazol 40mg,Medicamento,Bloco Cirurgico,6
2024-01-29,0014,Furosemida 20mg,Medicamento,Urgencia,7
2024-01-29,0011,Ampicilina 1g,Antibiotico,UTI,2
2024-01-29,0020,Cateter Venoso 20G,Material Hospitalar,Urgencia,69
2024-01-30,0009,Omeprazol 40mg,Medicamento,UTI,12
2024-01-30,0014,Furosemida 20mg,Medicamento,Urgencia,11
2024-01-30,0003,Soro Glicosado 5% 500mL,Solucoes,Bloco Cirurgico,36
2024-01-30,0011,Ampicilina 1g,Antibiotico,Bloco Cirurgico,26
2024-01-30,0023,Compressa Gaze,Material Hospitalar,Urgencia,107
2024-01-30,0005,Seringa 10mL,Material Hospitalar,Urgencia,38
2024-01-30,0007,Agulha 25x7,Material Hospitalar,Clínica Médica,108
2024-01-30,0013,Ondansetrona 4mg,Medicamento,UTI,39
2024-01-30,0021,Cateter Venoso 22G,Material Hospitalar,UTI,38
2024-01-30,0002,"Soro Fisiologico 0,9% 500mL",Solucoes,Bloco Cirurgico,36
2024-01-30,0008,Luva Procedimento M,Material Hospitalar,Urgencia,87
2024-01-30,0016,Adrenalina 1mg/mL,Medicamento,Urgencia,11
